iso2,country,age_group,gender,year,value
AUS,Australia,<3,Males,2002,387615
AUS,Australia,<3,Males,2003,383667
AUS,Australia,<3,Males,2004,383000
AUS,Australia,<3,Males,2005,388292
AUS,Australia,<3,Males,2006,397908
AUS,Australia,<3,Males,2007,415999
AUS,Australia,<3,Males,2008,432015
AUS,Australia,<3,Males,2009,448588
AUS,Australia,<3,Males,2010,457984
AUS,Australia,<3,Males,2011,455388
AUS,Australia,<3,Males,2012,454656
AUS,Australia,<3,Females,2002,368493
AUS,Australia,<3,Females,2003,364391
AUS,Australia,<3,Females,2004,363106
AUS,Australia,<3,Females,2005,367255
AUS,Australia,<3,Females,2006,375821
AUS,Australia,<3,Females,2007,394360
AUS,Australia,<3,Females,2008,409971
AUS,Australia,<3,Females,2009,425102
AUS,Australia,<3,Females,2010,434989
AUS,Australia,<3,Females,2011,431697
AUS,Australia,<3,Females,2012,431283
CAN,Canada,<3,Males,2003,521054
CAN,Canada,<3,Males,2004,518704
CAN,Canada,<3,Males,2005,514870
CAN,Canada,<3,Males,2006,521084
CAN,Canada,<3,Males,2007,528971
CAN,Canada,<3,Males,2008,544782
CAN,Canada,<3,Males,2009,560719
CAN,Canada,<3,Males,2010,564634
CAN,Canada,<3,Males,2011,581444
CAN,Canada,<3,Males,2012,586637
CAN,Canada,<3,Females,2003,497034
CAN,Canada,<3,Females,2004,495108
CAN,Canada,<3,Females,2005,491077
CAN,Canada,<3,Females,2006,496594
CAN,Canada,<3,Females,2007,503945
CAN,Canada,<3,Females,2008,514967
CAN,Canada,<3,Females,2009,531999
CAN,Canada,<3,Females,2010,536850
CAN,Canada,<3,Females,2011,555207
CAN,Canada,<3,Females,2012,556888
AUT,Austria,<3,Males,2002,118888
AUT,Austria,<3,Males,2003,119846
AUT,Austria,<3,Males,2004,120748
AUT,Austria,<3,Males,2005,122385
AUT,Austria,<3,Males,2006,122324
AUT,Austria,<3,Males,2007,121809
AUT,Austria,<3,Males,2008,120068
AUT,Austria,<3,Males,2009,120273
AUT,Austria,<3,Males,2010,119342
AUT,Austria,<3,Males,2011,120714
AUT,Austria,<3,Males,2012,121066
AUT,Austria,<3,Females,2002,113753
AUT,Austria,<3,Females,2003,114648
AUT,Austria,<3,Females,2004,113868
AUT,Austria,<3,Females,2005,116155
AUT,Austria,<3,Females,2006,116412
AUT,Austria,<3,Females,2007,116351
AUT,Austria,<3,Females,2008,115113
AUT,Austria,<3,Females,2009,114440
AUT,Austria,<3,Females,2010,113253
AUT,Austria,<3,Females,2011,114343
AUT,Austria,<3,Females,2012,114685
USA,United States,4,Males,2002,1995031
USA,United States,4,Males,2003,1977080
USA,United States,4,Males,2004,1963057
USA,United States,4,Males,2005,2023439
USA,United States,4,Males,2006,2074973
USA,United States,4,Males,2007,2061055
USA,United States,4,Males,2008,2102517
USA,United States,4,Males,2009,2126156
USA,United States,4,Males,2010,2147011
USA,United States,4,Males,2011,2088979
USA,United States,4,Males,2012,2107838
USA,United States,4,Females,2002,1932164
USA,United States,4,Females,2003,1893148
USA,United States,4,Females,2004,1879148
USA,United States,4,Females,2005,1931073
USA,United States,4,Females,2006,1986921
USA,United States,4,Females,2007,1970876
USA,United States,4,Females,2008,2008417
USA,United States,4,Females,2009,2033696
USA,United States,4,Females,2010,2052249
USA,United States,4,Females,2011,1996615
USA,United States,4,Females,2012,2018964
AUS,Australia,5-9,Males,2002,691399
AUS,Australia,5-9,Males,2003,686684
AUS,Australia,5-9,Males,2004,682309
AUS,Australia,5-9,Males,2005,678755
AUS,Australia,5-9,Males,2006,676395
AUS,Australia,5-9,Males,2007,687558
AUS,Australia,5-9,Males,2008,690749
AUS,Australia,5-9,Males,2009,695212
AUS,Australia,5-9,Males,2010,701203
AUS,Australia,5-9,Males,2011,710036
AUS,Australia,5-9,Males,2012,721135
AUS,Australia,5-9,Females,2002,654942
AUS,Australia,5-9,Females,2003,650780
AUS,Australia,5-9,Females,2004,647710
AUS,Australia,5-9,Females,2005,644571
AUS,Australia,5-9,Females,2006,642855
AUS,Australia,5-9,Females,2007,653928
AUS,Australia,5-9,Females,2008,657446
AUS,Australia,5-9,Females,2009,660823
AUS,Australia,5-9,Females,2010,664544
AUS,Australia,5-9,Females,2011,673012
AUS,Australia,5-9,Females,2012,682656
AUS,Australia,10-14,Males,2002,700013
AUS,Australia,10-14,Males,2003,707035
AUS,Australia,10-14,Males,2004,711924
AUS,Australia,10-14,Males,2005,715346
AUS,Australia,10-14,Males,2006,714009
AUS,Australia,10-14,Males,2007,718848
AUS,Australia,10-14,Males,2008,719870
AUS,Australia,10-14,Males,2009,720782
AUS,Australia,10-14,Males,2010,719763
AUS,Australia,10-14,Males,2011,720348
AUS,Australia,10-14,Males,2012,708804
AUS,Australia,10-14,Females,2002,666903
AUS,Australia,10-14,Females,2003,672422
AUS,Australia,10-14,Females,2004,675561
AUS,Australia,10-14,Females,2005,678685
AUS,Australia,10-14,Females,2006,676901
AUS,Australia,10-14,Females,2007,681637
AUS,Australia,10-14,Females,2008,682444
AUS,Australia,10-14,Females,2009,684214
AUS,Australia,10-14,Females,2010,684015
AUS,Australia,10-14,Females,2011,684836
AUS,Australia,10-14,Females,2012,673832
AUS,Australia,15-19,Males,2002,696033
AUS,Australia,15-19,Males,2003,698587
AUS,Australia,15-19,Males,2004,702012
AUS,Australia,15-19,Males,2005,708305
AUS,Australia,15-19,Males,2006,720491
AUS,Australia,15-19,Males,2007,739515
AUS,Australia,15-19,Males,2008,756525
AUS,Australia,15-19,Males,2009,767426
AUS,Australia,15-19,Males,2010,770614
AUS,Australia,15-19,Males,2011,765850
AUS,Australia,15-19,Males,2012,748674
AUS,Australia,15-19,Females,2002,664072
AUS,Australia,15-19,Females,2003,665547
AUS,Australia,15-19,Females,2004,668445
AUS,Australia,15-19,Females,2005,672774
AUS,Australia,15-19,Females,2006,684928
AUS,Australia,15-19,Females,2007,700766
AUS,Australia,15-19,Females,2008,714624
AUS,Australia,15-19,Females,2009,726372
AUS,Australia,15-19,Females,2010,730396
AUS,Australia,15-19,Females,2011,726523
