REPOSITORY                                       TAG                                                                           IMAGE ID       CREATED         SIZE
thomasm1/r-blockchain                            latest                                                                        356ffe7b1b7a   2 weeks ago     248MB
thomasm1/r-users                                 latest                                                                        83c356998c16   2 weeks ago     235MB
thomasm1/r-event-handler                         latest                                                                        29fbdd3fd75e   2 weeks ago     180MB
thomasm1/r-event-bus                             latest                                                                        c026f2e1a29c   2 weeks ago     180MB
thomasm1/r-posts                                 latest                                                                        4f0416d416ec   2 weeks ago     235MB
thomasm1/r-client                                latest                                                                        cc51699cf4c5   2 weeks ago     821MB
thomasm1/r-moderation                            latest                                                                        0c05efcf569a   2 weeks ago     180MB
thomasm1/r-comments                              latest                                                                        dfaef03efde2   2 weeks ago     180MB
thomasm1/dailytech-rest                          latest                                                                        52efcb7ce473   2 weeks ago     537MB
mongo                                            latest                                                                        b81a621037ef   2 weeks ago     887MB
thomasm1/mapl-authorization-service              latest                                                                        1b8e42b2db1b   3 weeks ago     504MB
thomasm1/mapl-omni                               latest                                                                        f56f60e2ff95   3 weeks ago     479MB
thomasm1/mapl-data                               latest                                                                        913a4f7a122d   3 weeks ago     509MB
thomasm1/mapl-neo4j                              latest                                                                        11cd39941c67   3 weeks ago     464MB
thomasm1/mapl-service-registry                   latest                                                                        48e76b210e31   3 weeks ago     460MB
thomasm1/mapl-gateway                            latest                                                                        da1c45dd5f0a   3 weeks ago     455MB
thomasm1/mapl-dashboard                          latest                                                                        4b617386247c   3 weeks ago     505MB
thomasm1/mapl-config-server                      latest                                                                        5952d164b8c7   3 weeks ago     462MB
thomasm1/mapl-dailytech                          latest                                                                        546bf711b275   3 weeks ago     506MB
confluentinc/confluent-cli                       latest                                                                        9b3ae3718294   4 weeks ago     103MB
mysql                                            latest                                                                        5568fddd4f66   2 months ago    797MB
apache/kafka                                     latest                                                                        2956061ba5d3   5 months ago    404MB
ollama/ollama                                    latest                                                                        1577d5e882da   6 months ago    3.27GB
qdrant/qdrant                                    latest                                                                        2481d1b4c30d   6 months ago    186MB
rabbitmq                                         3.12-management                                                               5cf224ad6157   6 months ago    247MB
n8nio/n8n                                        latest                                                                        721f5324a4d3   6 months ago    627MB
postgres                                         16-alpine                                                                     8c93ef988991   7 months ago    245MB
simple_server                                    latest                                                                        bbacaf91cb78   8 months ago    125MB
docker/desktop-kubernetes                        kubernetes-v1.30.2-cni-v1.4.0-critools-v1.29.0-cri-dockerd-v0.3.11-1-debian   8b7b9de36bd5   8 months ago    435MB
registry.k8s.io/kube-apiserver                   v1.30.2                                                                       56ce0fd9fb53   9 months ago    117MB
registry.k8s.io/kube-controller-manager          v1.30.2                                                                       e874818b3caa   9 months ago    111MB
registry.k8s.io/kube-scheduler                   v1.30.2                                                                       7820c83aa139   9 months ago    62MB
registry.k8s.io/kube-proxy                       v1.30.2                                                                       53c535741fb4   9 months ago    84.7MB
ubuntu                                           latest                                                                        35a88802559d   9 months ago    78.1MB
redis                                            latest                                                                        9c893be668ac   10 months ago   116MB
docker/desktop-kubernetes                        kubernetes-v1.29.2-cni-v1.4.0-critools-v1.29.0-cri-dockerd-v0.3.11-1-debian   15340d8e9882   12 months ago   439MB
registry.k8s.io/kube-apiserver                   v1.29.2                                                                       8a9000f98a52   13 months ago   127MB
registry.k8s.io/kube-proxy                       v1.29.2                                                                       9344fce2372f   13 months ago   82.3MB
registry.k8s.io/kube-controller-manager          v1.29.2                                                                       138fb5a3a2e3   13 months ago   122MB
registry.k8s.io/kube-scheduler                   v1.29.2                                                                       6fc5e6b7218c   13 months ago   59.5MB
registry.k8s.io/etcd                             3.5.12-0                                                                      3861cfcd7c04   13 months ago   149MB
registry.k8s.io/etcd                             3.5.10-0                                                                      a0eed15eed44   17 months ago   148MB
registry.k8s.io/coredns/coredns                  v1.11.1                                                                       cbb01a7bd410   19 months ago   59.8MB
container-registry.oracle.com/database/express   latest                                                                        8da8cedb7fbf   20 months ago   11.4GB
paketobuildpacks/run                             base-cnb                                                                      f2e5000af0cb   21 months ago   87.1MB
rabbitmq                                         3.12.0-management                                                             fa6f2153e5c0   22 months ago   256MB
docker/desktop-vpnkit-controller                 dc331cb22850be0cdd97c84a9cfecaf44a1afb6e                                      556098075b3d   22 months ago   36.2MB
hello-world                                      latest                                                                        d2c94e258dcb   23 months ago   13.3kB
mysql/mysql-server                               latest                                                                        1d9c2219ff69   2 years ago     496MB
thomasm1/docker-node-mongo-app                   march2023                                                                     dc8f79478b15   2 years ago     927MB
registry.k8s.io/pause                            3.9                                                                           e6f181688397   2 years ago     744kB
rabbitmq                                         3.11.0                                                                        bf56ebb3b006   2 years ago     229MB
ibmcom/mq                                        latest                                                                        5211ea6323b7   3 years ago     928MB
docker/desktop-storage-provisioner               v2.0                                                                          99f89471f470   3 years ago     41.9MB
oracleinanutshell/oracle-xe-11g                  latest                                                                        ad13c30ec346   6 years ago     2.13GB
paketobuildpacks/oracle                          latest                                                                        7c7f7a6e63ae   45 years ago    12.1MB
paketobuildpacks/builder                         latest                                                                        050ed48532b2   45 years ago    1.31GB
