url,description,categoryId
https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?toggleLanguage=fr&poster=939011,"STATISTICS,Statisticien-mathematicien",1201
http://www.ats.ucla.edu/stat/mult_pkg/faq/general/default.htm,"STATISTICS,UCLA Statistical Computing FAQ",1201
https://online.stanford.edu/lagunita-learning-platform,"ONLINE COURSES,Stanford Lagunita Learning Platform",1201
https://methods.sagepub.com/#_,"RESEARCH METHODS,Sage Research Methods",1201
http://dli-idd-nesstar.statcan.gc.ca/webview/,"STATISTICS DATA,StatCan Nesstar WebView",1201
https://www.gapminder.org,"DATA VISUALIZATION,Gapminder",1201
https://www.youtube.com/user/BibliothequesUdeM/playlists,"ACADEMIC MEDIA,Bibliotheques UdeM YouTube Playlists",1201
https://www.savvas.com,"EDUCATION,Savvas Learning Company",1201
https://sociologicalscience.com,"SOCIOLOGY JOURNALS,Sociological Science",1201
https://sol6210.netlify.app,"SOCIOLOGY COURSE,SOL6210",1201
https://www.kaggle.com,"DATA SCIENCE,Kaggle",1201
https://www.semanticscholar.org/paper/Fifty-Years-of-Classification-and-Regression-Trees-Loh/f1c3683cacc3dc7898f3603753af87565f8ad677?p2df,"MACHINE LEARNING,Fifty Years of Classification and Regression Trees",1201
https://data.gov,"OPEN DATA,Data.gov",1201
https://www.pluralsight.com/courses/programming-with-r,"R PROGRAMMING,Programming with R",1201
https://www.kaggle.com/datasets/hojjatk/mnist-dataset,"MACHINE LEARNING DATA,MNIST Dataset",1201
